,StartDate,EndDate,ResponseId,Country,cond,condName,WEPTcc,BELIEFcc,POLICYcc,SHAREcc,Intervention_order,Belief1 ,Belief2,Belief3,Belief4,Policy1,Policy2,Policy3,Policy4,Policy5,Policy6,Policy7,Policy8,Policy9,Trust_sci1_1,Trust_sci2_1,Trust_gov_1,ID_hum_1,ID_GC_1,Enviro_ID_1,Enviro_ID_2,Enviro_ID_3,Enviro_ID_4,Enviro_motiv_1,Enviro_motiv_11,Enviro_motiv_12,Enviro_motiv_13,Enviro_motiv_14,Enviro_motiv_15,Enviro_motiv_16,Enviro_motiv_17,Enviro_motiv_18,Enviro_motiv_20,PlurIgnoranceItem_1,probe_CC_1,probe_GW_1,probe_GH_1,probe_CCrisis_1,probe_GE_1,probe_CE_1,probe_CP_1,probe_CEmerg_1,probe_CPoll_1,Gender,Age,Politics2_1,Politics2_9,Edu,Income,Indirect_SES,MacArthur_SES,PerceivedSciConsensu_1,Intro_Timer,condition_time_total,ide,ide_c,age_c,income_c,edu_c,ide_low,ide_high,GenderBin,gend_effects,cond_effects,belief_avg,policy_avg
45,2/10/23 17:54,2/10/23 18:08,R_1okg3somNtNMFaB,USA,6,SystemJust,0,100,47.125,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,100,100,100,100,35,48,NA,65,34,62,55,21,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,51,59,2,4,"2,3,5,6,7",3,100,11.992,78.766,55,5,10.86382,-0.205146,-0.854966,35,-25,1,0.5,0.5,100,NA
51,2/10/23 18:34,2/10/23 18:55,R_1Q0JBi1pA5p0kym,USA,1,Control,8,54.75,51.375,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,56,57,51,55,53,59,50,44,57,NA,54,58,36,63,66,51,100,64,74,73,72,71,54,47,49,76,79,47,70,44,78,41,53,NA,NA,NA,65,NA,NA,NA,NA,NA,2,69,90,97,2,4,"1,2,3,4,5,6,7",9,63,8.253,183.052,93.5,43.5,29.86382,-0.205146,-0.854966,73.5,13.5,1,0.5,-0.5,54.75,NA
52,2/10/23 18:46,2/10/23 18:58,R_3kEoiKwtW5TxJoR,USA,6,SystemJust,1,100,92.44444444,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,100,100,100,100,100,100,100,100,100,100,100,100,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,52,1,2,2,4,"1,2,3,4,6,7",2,84,13.253,84.759,1.5,-48.5,12.86382,-0.205146,-0.854966,-18.5,-78.5,1,0.5,0.5,100,92.44444444
59,2/10/23 20:23,2/10/23 20:33,R_1dLjcAloeE9m65i,USA,6,SystemJust,0,0,11.11111111,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,0,0,0,0,0,0,0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,NA,NA,3,NA,"2,3,4,5,6,7",1,80,12.901,52.329,NA,NA,-18.13618,NA,0.145034,NA,NA,1,0.5,0.5,0,11.11111111
65,2/10/23 20:49,2/10/23 20:57,R_2TmBS8JiXkAelLH,USA,6,SystemJust,0,83.25,82.5,1,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,83,86,80,84,60,100,96,NA,80,80,99,95,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,52,18,21,3,3,"1,2,3,5,6,7",3,74,10.187,67.041,19.5,-30.5,12.86382,-1.205146,0.145034,-0.5,-60.5,1,0.5,0.5,83.25,NA
79,2/10/23 21:40,2/10/23 22:07,R_2xEl9Tvf9HZFnh3,USA,6,SystemJust,8,78,85,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,75,80,85,72,87,84,79,87,83,83,93,87,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,77,93,3,6,"1,2,4,5,6,7",7,85,22.138,72.724,85,35,-4.13618,1.794854,0.145034,65,5,0,-0.5,0.5,78,85
87,2/10/23 22:20,2/10/23 22:37,R_2QRNXx2vFulZCdK,USA,6,SystemJust,2,89.25,96.66666667,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,79,88,90,100,98,98,100,100,91,99,94,98,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,14,11,3,5,"1,2,3,4,5,6,7",7,72,16.27,160.202,12.5,-37.5,-6.13618,0.794854,0.145034,-7.5,-67.5,0,-0.5,0.5,89.25,96.66666667
94,2/10/23 22:39,2/10/23 22:57,R_2akOdv3xSUmlFof,USA,6,SystemJust,8,100,91.66666667,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,100,100,100,100,100,100,100,100,100,100,100,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,60,52,59,3,5,"1,2,3,4,5,6,7",5,52,22.559,94.966,55.5,5.5,20.86382,0.794854,0.145034,35.5,-24.5,1,0.5,0.5,100,91.66666667
96,2/10/23 23:00,2/10/23 23:10,R_1ey1rAzHgjMuSWD,USA,6,SystemJust,2,39.5,53.88888889,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,36,41,55,26,55,61,59,60,43,33,58,64,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36,60,81,4,8,"1,3,5,7",9,71,4.789,36.476,70.5,20.5,-3.13618,3.794854,1.145034,50.5,-9.5,0,-0.5,0.5,39.5,53.88888889
99,2/10/23 22:38,2/10/23 23:16,R_AjQsPrpTA07lwbf,USA,1,Control,8,82.25,84.14285714,NA,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,95,74,72,88,80,78,86,78,NA,79,88,100,NA,NA,NA,10,5,15,90,67,53,80,17,7,10,0,0,56,23,22,10,22,65,NA,NA,NA,NA,NA,NA,60,NA,NA,4,19,0,0,2,5,"1,2,3,4,5,6,7",6,70,23.331,514.694,0,-50,-20.13618,0.794854,-0.854966,-20,-80,NA,NA,-0.5,82.25,NA
100,2/10/23 22:57,2/10/23 23:16,R_PBrPAqEb2nSojXH,USA,1,Control,8,1,1.625,NA,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,1,1,1,1,0,1,1,1,1,8,1,NA,0,1,1,25,74,1,1,1,0,0,0,1,0,0,1,1,78,1,100,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,57,76,100,3,6,"1,2,3,4,5,6,7",5,23,8.503,181.296,88,38,17.86382,1.794854,0.145034,68,8,0,-0.5,-0.5,1,NA
102,2/10/23 20:39,2/10/23 23:22,R_eExmNgVBL8vIgil,USA,1,Control,8,84.5,77.88888889,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,90,84,76,88,76,80,87,78,84,92,74,75,55,77,80,56,80,90,78,85,88,82,87,89,80,84,85,86,79,83,69,88,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,96,90,4,8,"2,3,4,5,6,7",7,80,10.721,88.742,93,43,-2.13618,3.794854,1.145034,73,13,0,-0.5,-0.5,84.5,77.88888889
113,2/10/23 23:45,2/10/23 23:57,R_XFmzCnJp4gIBEMF,USA,6,SystemJust,4,96.5,93,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,100,86,100,NA,50,94,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26,15,12,3,4,"1,2,3,4,5,6",5,99,17.072,52.848,13.5,-36.5,-13.13618,-0.205146,0.145034,-6.5,-66.5,NA,NA,0.5,96.5,NA
122,2/11/23 0:12,2/11/23 0:26,R_qPle3cnp3ceEN5D,USA,1,Control,0,94,80.11111111,0,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,97,97,91,91,60,87,91,97,66,78,69,85,88,97,96,28,94,85,87,82,75,90,5,30,80,12,4,81,38,78,99,82,70,NA,NA,92,NA,NA,NA,NA,NA,NA,2,34,10,55,3,4,"1,2,3,4,5,6,7",3,86,9.936,432.967,32.5,-17.5,-5.13618,-0.205146,0.145034,12.5,-47.5,1,0.5,-0.5,94,80.11111111
130,2/11/23 0:34,2/11/23 0:42,R_2tyhyDqX3fUYn7t,USA,6,SystemJust,2,68,70.55555556,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,73,67,72,60,44,65,73,96,56,70,72,59,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26,30,68,2,4,"1,2,3,4,5,6,7",8,69,5.454,34.408,49,-1,-13.13618,-0.205146,-0.854966,29,-31,0,-0.5,0.5,68,70.55555556
136,2/11/23 0:36,2/11/23 0:58,R_ZqaUaJxrm1YPuVP,USA,1,Control,8,100,100,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,98,100,97,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,100,NA,NA,NA,1,42,100,100,4,8,"1,2,3,4,6,7",10,100,4.922,55.954,100,50,2.86382,3.794854,1.145034,80,20,0,-0.5,-0.5,100,100
138,2/11/23 0:53,2/11/23 1:01,R_3fDg3ePkrO1SDay,USA,6,SystemJust,8,100,76.77777778,NA,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,100,100,100,0,100,100,100,91,100,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,51,42,2,4,"1,2,3,4,6,7",10,67,9.318,36.376,46.5,-3.5,-14.13618,-0.205146,-0.854966,26.5,-33.5,1,0.5,0.5,100,76.77777778
144,2/11/23 0:29,2/11/23 1:09,R_2qwyjjjnYxx7RIR,USA,1,Control,8,100,51.11111111,NA,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,100,100,100,2,100,3,100,3,100,50,100,2,90,90,90,90,90,50,90,70,90,50,50,50,100,50,90,100,50,50,50,50,NA,NA,100,NA,NA,NA,NA,NA,NA,1,74,53,51,2,4,"1,3,4,5,6,7",5,75,18.98,358.231,52,2,34.86382,-0.205146,-0.854966,32,-28,0,-0.5,-0.5,100,51.11111111
151,2/11/23 0:54,2/11/23 1:31,R_1oBT111QKCXus0P,USA,1,Control,8,78.75,81.11111111,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,77,80,83,75,85,72,88,86,52,91,92,86,78,83,83,31,86,87,91,84,80,84,81,27,91,19,22,89,23,90,94,91,61,NA,NA,NA,NA,NA,NA,NA,NA,90,1,69,28,79,3,3,"1,2,3,4,5,6,7",6,91,22.545,263.147,53.5,3.5,29.86382,-1.205146,0.145034,33.5,-26.5,0,-0.5,-0.5,78.75,81.11111111
159,2/11/23 1:27,2/11/23 1:48,R_2rA8FrYQhsZt1oq,USA,1,Control,1,87,60.25,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,52,96,100,100,34,76,75,72,49,94,77,NA,5,86,86,53,73,65,51,70,62,69,32,22,16,15,17,100,32,72,70,75,84,NA,79,NA,NA,NA,NA,NA,NA,NA,2,41,9,17,2,3,"1,2,3,4,5,6,7",5,65,42.2,328.506,13,-37,1.86382,-1.205146,-0.854966,-7,-67,1,0.5,-0.5,87,NA
164,2/11/23 1:32,2/11/23 1:57,R_3m2HHcQWNXrS52T,USA,6,SystemJust,8,0,34.57142857,0,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,0,0,0,0,0,53,NA,15,24,51,48,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58,100,100,2,4,"1,2,3,4,6,7",4,17,42.172,206.856,100,50,18.86382,-0.205146,-0.854966,80,20,1,0.5,0.5,0,NA
168,2/11/23 1:39,2/11/23 2:08,R_2ZJuqh8DAP9V2Ue,USA,1,Control,8,100,85.77777778,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,100,100,100,100,87,90,67,98,82,100,82,80,86,80,61,54,93,92,100,100,91,72,79,10,91,16,11,84,92,100,68,90,52,NA,91,NA,NA,NA,NA,NA,NA,NA,1,56,74,100,NA,4,"1,2,3,4,5,6,7",7,74,26.985,445.799,87,37,16.86382,-0.205146,NA,67,7,0,-0.5,-0.5,100,85.77777778
169,2/11/23 2:00,2/11/23 2:15,R_ZITD6KTOZf3aWXf,USA,1,Control,0,1.25,50.66666667,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,2,1,1,1,1,61,74,49,55,100,24,90,2,3,4,3,100,13,44,46,20,28,2,2,3,4,3,2,99,2,3,2,22,NA,NA,NA,NA,NA,NA,NA,NA,6,2,69,93,87,3,5,"1,2,3,4,5,6,7",5,33,19.292,288.616,90,40,29.86382,0.794854,0.145034,70,10,1,0.5,-0.5,1.25,50.66666667
178,2/11/23 3:38,2/11/23 3:53,R_24vITHi3bQcU7mI,USA,6,SystemJust,8,72.75,63.44444444,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,81,71,73,66,60,64,69,78,60,53,63,70,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,70,71,4,8,"1,2,3,4,5,6,7",5,74,5.19,41.07,70.5,20.5,-4.13618,3.794854,1.145034,50.5,-9.5,0,-0.5,0.5,72.75,63.44444444
179,2/11/23 3:46,2/11/23 3:59,R_3F59lMgEKUXWm1s,USA,1,Control,3,93.5,74.55555556,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,75,100,100,99,44,100,100,85,52,100,67,100,23,NA,NA,NA,100,64,53,96,30,80,21,34,14,20,19,45,10,39,68,60,74,NA,NA,NA,NA,NA,60,NA,NA,NA,2,50,NA,NA,3,1,"1,3,4,6,7",3,73,9.39,117.516,NA,NA,10.86382,-3.205146,0.145034,NA,NA,1,0.5,-0.5,93.5,74.55555556
188,2/11/23 4:02,2/11/23 4:16,R_CZyzrhfp5aIu5cR,USA,1,Control,2,88.75,73.55555556,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,91,87,85,92,65,71,79,75,80,72,74,78,68,85,86,83,86,85,87,81,83,78,85,81,87,84,88,85,87,85,81,83,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,85,84,3,5,"1,3,5,6,7",8,84,11.958,53.745,84.5,34.5,-9.13618,0.794854,0.145034,64.5,4.5,1,0.5,-0.5,88.75,73.55555556
199,2/11/23 4:56,2/11/23 5:30,R_2S2zxgInyyRBKba,USA,1,Control,8,88.25,72.22222222,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,53,100,100,100,50,100,0,100,100,100,100,0,100,100,100,100,100,100,100,50,100,100,100,100,50,100,50,100,50,100,100,50,NA,NA,NA,NA,100,NA,NA,NA,NA,1,38,100,0,4,6,"1,2,3,4,5,6,7",6,100,14.775,285.329,50,0,-1.13618,1.794854,1.145034,30,-30,0,-0.5,-0.5,88.25,72.22222222
202,2/11/23 5:48,2/11/23 5:56,R_1N4GsDkFgtUPE6l,USA,1,Control,0,69.75,50.55555556,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,88,63,72,56,21,49,22,80,40,72,69,80,22,61,39,3,82,82,89,80,83,81,79,27,73,78,74,76,80,77,33,71,50,NA,NA,82,NA,NA,NA,NA,NA,NA,2,31,49,53,4,4,"1,2,3,4,5,6,7",6,63,7.995,114.688,51,1,-8.13618,-0.205146,1.145034,31,-29,1,0.5,-0.5,69.75,50.55555556
208,2/11/23 6:03,2/11/23 6:25,R_3ozIx5wMD3za40B,USA,6,SystemJust,2,52.75,50.11111111,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,25,79,72,35,38,24,57,27,95,70,36,38,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,41,80,4,7,"2,3,4,6,7",9,70,9.562,71.356,60.5,10.5,0.86382,2.794854,1.145034,40.5,-19.5,0,-0.5,0.5,52.75,50.11111111
214,2/11/23 6:09,2/11/23 6:52,R_31Xz6QvH2AtlsmG,USA,1,Control,8,87.75,75.88888889,0,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,95,73,86,97,83,76,50,100,31,100,84,82,77,90,85,70,100,80,100,100,91,100,30,40,29,30,30,85,82,80,80,80,53,NA,NA,NA,NA,83,NA,NA,NA,NA,2,68,56,63,3,3,"1,2,3,4,6,7",9,89,13.202,339.087,59.5,9.5,28.86382,-1.205146,0.145034,39.5,-20.5,1,0.5,-0.5,87.75,75.88888889
216,2/11/23 6:31,2/11/23 6:55,R_2CqcFf1tu90JLHy,USA,6,SystemJust,8,75.75,70.75,NA,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,84,77,70,72,65,73,66,80,NA,71,66,67,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,72,80,79,3,4,"1,2,3,4,6,7",7,58,15.673,160.862,79.5,29.5,32.86382,-0.205146,0.145034,59.5,-0.5,1,0.5,0.5,75.75,NA
219,2/11/23 6:56,2/11/23 7:11,R_2y28G6nr4j5OeA8,USA,1,Control,8,4.25,11.11111111,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,6,9,1,1,1,14,10,15,3,12,16,27,2,35,24,33,79,50,100,99,99,98,1,50,2,2,2,73,50,70,50,49,40,NA,NA,NA,NA,19,NA,NA,NA,NA,2,68,73,70,3,3,"1,2,3,4,5,6,7",5,50,21.391,192.004,71.5,21.5,28.86382,-1.205146,0.145034,51.5,-8.5,1,0.5,-0.5,4.25,11.11111111
220,2/11/23 7:02,2/11/23 7:12,R_1gexlPe5k8lQlmh,USA,1,Control,8,88.5,23.55555556,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,88,77,91,98,17,29,36,29,8,29,10,26,28,92,68,79,96,80,93,91,77,88,93,93,72,69,72,87,88,90,95,88,91,NA,NA,NA,NA,NA,88,NA,NA,NA,1,36,87,88,3,8,"1,2,3,4,5,6,7",7,90,7.944,30.045,87.5,37.5,-3.13618,3.794854,0.145034,67.5,7.5,0,-0.5,-0.5,88.5,23.55555556
230,2/11/23 7:16,2/11/23 7:33,R_3ikZlL7DF0vw4BP,USA,6,SystemJust,8,95.75,59.33333333,NA,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,93,90,100,100,23,63,25,100,19,99,86,100,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,68,45,51,3,5,"1,2,3,4,5,6,7",7,51,11.699,51.994,48,-2,28.86382,0.794854,0.145034,28,-32,0,-0.5,0.5,95.75,59.33333333
231,2/11/23 7:26,2/11/23 7:36,R_Rxkm41YQ6etv1ER,USA,6,SystemJust,1,26,44.66666667,1,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,30,58,16,0,10,93,22,0,77,47,55,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,73,96,3,2,"3,4,5,6,7",7,52,5.301,36.37,84.5,34.5,-15.13618,-2.205146,0.145034,64.5,4.5,1,0.5,0.5,26,44.66666667
